ESM_IndexOutOfBounds,ESM_NullPointer,ESM_ClassCast,ESM_Arithmetic,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,Number of Bugs
0,9,0,0,0.728814,1.0,2.0,1.0,0.320755,0.62963,17.0,17.0,5.0,0.0,0.0,5.0,3.0,5.0,1.0,0.0,5.0,0.5,0.794118,54.0,54.0,1.0,1.0,0.666667,54.0,1.0,1.0,4.0,4.0,1.0,14.0,40.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,27.0,53.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,6.0,8.0,0.0,2.0,0.0,0.0
0,9,0,0,0.753846,1.0,3.0,1.0,0.345455,0.655172,19.0,19.0,5.0,0.0,0.0,5.0,3.0,5.0,1.0,0.0,5.0,0.5,0.794118,54.0,54.0,1.0,1.0,0.650602,54.0,1.0,1.0,4.0,4.0,1.0,14.0,40.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,29.0,55.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,6.0,9.0,0.0,2.0,0.0,0.0
0,1,0,0,0.704918,1.0,2.0,1.0,0.327273,0.62069,18.0,18.0,5.0,0.0,0.0,5.0,3.0,4.0,1.0,0.0,5.0,0.833333,0.783784,58.0,58.0,5.0,1.0,0.666667,58.0,1.0,1.0,3.0,3.0,1.0,16.0,42.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,0.0,5.0,0.0,29.0,55.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0,8.0,0.0,6.0,0.0,0.0
0,1,0,0,0.731343,1.0,3.0,1.0,0.350877,0.645161,20.0,20.0,5.0,0.0,0.0,5.0,3.0,5.0,1.0,0.0,5.0,0.833333,0.783784,58.0,58.0,5.0,1.0,0.651685,58.0,1.0,1.0,4.0,4.0,1.0,16.0,42.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,1.0,0.0,5.0,0.0,31.0,57.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0,9.0,0.0,6.0,0.0,0.0
0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,4.0,8.0,8.0,2.0,8.0,1.0,0.609195,53.0,53.0,6.0,0.0,0.582418,53.0,2.0,2.0,0.0,0.0,1.0,34.0,72.0,1.0,0.0,1.0,0.0,6.0,0.0,5.0,0.0,8.0,11.0,0.0,6.0,0.0,38.0,76.0,1.0,0.0,1.0,0.0,7.0,0.0,6.0,0.0,9.0,13.0,0.0,7.0,0.0,1.0
0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,5.0,10.0,10.0,2.0,8.0,1.0,0.540816,53.0,53.0,6.0,0.0,0.519608,53.0,2.0,2.0,0.0,0.0,1.0,45.0,83.0,1.0,0.0,1.0,0.0,6.0,0.0,5.0,0.0,8.0,19.0,0.0,6.0,0.0,49.0,87.0,1.0,0.0,1.0,0.0,7.0,0.0,6.0,0.0,9.0,21.0,0.0,7.0,0.0,0.0
1,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,19.0,1.0,12.0,33.0,0.0,13.0,0.8,0.4,44.0,44.0,8.0,2.0,0.4,44.0,2.0,2.0,0.0,0.0,1.0,66.0,103.0,2.0,1.0,2.0,1.0,13.0,0.0,9.0,0.0,17.0,30.0,0.0,10.0,0.0,66.0,103.0,2.0,1.0,2.0,1.0,13.0,0.0,9.0,0.0,17.0,30.0,0.0,10.0,0.0,1.0
1,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,20.0,1.0,12.0,34.0,0.0,14.0,0.818182,0.410256,48.0,48.0,9.0,2.0,0.410256,48.0,2.0,2.0,0.0,0.0,1.0,69.0,111.0,2.0,1.0,2.0,1.0,14.0,0.0,10.0,0.0,18.0,31.0,0.0,11.0,0.0,69.0,111.0,2.0,1.0,2.0,1.0,14.0,0.0,10.0,0.0,18.0,31.0,0.0,11.0,0.0,0.0
0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,20.0,1.0,12.0,34.0,0.0,14.0,0.818182,0.410256,48.0,48.0,9.0,2.0,0.410256,48.0,2.0,2.0,0.0,0.0,1.0,69.0,111.0,2.0,1.0,2.0,1.0,14.0,0.0,10.0,0.0,18.0,31.0,0.0,11.0,0.0,69.0,111.0,2.0,1.0,2.0,1.0,14.0,0.0,10.0,0.0,18.0,31.0,0.0,11.0,0.0,0.0
0,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,16.0,8.0,35.0,79.0,8.0,23.0,0.909091,0.726891,173.0,173.0,10.0,1.0,0.675781,173.0,1.0,1.0,0.0,0.0,1.0,65.0,159.0,2.0,0.0,2.0,0.0,15.0,0.0,10.0,0.0,15.0,23.0,0.0,10.0,0.0,83.0,179.0,3.0,0.0,3.0,0.0,17.0,0.0,12.0,0.0,17.0,30.0,0.0,12.0,0.0,1.0
0,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,9.0,6.0,13.0,28.0,3.0,11.0,0.857143,0.614458,51.0,51.0,6.0,1.0,0.459459,51.0,1.0,1.0,0.0,0.0,1.0,32.0,62.0,1.0,0.0,1.0,0.0,8.0,0.0,6.0,0.0,8.0,9.0,0.0,6.0,0.0,60.0,93.0,3.0,0.0,2.0,0.0,12.0,0.0,10.0,0.0,17.0,21.0,0.0,11.0,0.0,1.0
0,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,18.0,8.0,28.0,60.0,8.0,23.0,0.909091,0.716279,154.0,154.0,10.0,1.0,0.660944,154.0,1.0,1.0,0.0,0.0,1.0,61.0,145.0,2.0,0.0,2.0,0.0,15.0,0.0,10.0,0.0,15.0,20.0,0.0,10.0,0.0,79.0,165.0,3.0,0.0,3.0,0.0,17.0,0.0,12.0,0.0,17.0,27.0,0.0,12.0,0.0,0.0
0,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,16.0,8.0,35.0,79.0,8.0,23.0,0.909091,0.726891,173.0,173.0,10.0,1.0,0.675781,173.0,1.0,1.0,0.0,0.0,1.0,65.0,159.0,2.0,0.0,2.0,0.0,15.0,0.0,10.0,0.0,15.0,23.0,0.0,10.0,0.0,83.0,179.0,3.0,0.0,3.0,0.0,17.0,0.0,12.0,0.0,17.0,30.0,0.0,12.0,0.0,0.0
1,4,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,16.0,8.0,35.0,79.0,8.0,23.0,0.909091,0.726891,173.0,173.0,10.0,1.0,0.675781,173.0,1.0,1.0,0.0,0.0,1.0,65.0,159.0,2.0,0.0,2.0,0.0,15.0,0.0,10.0,0.0,15.0,23.0,0.0,10.0,0.0,83.0,179.0,3.0,0.0,3.0,0.0,17.0,0.0,12.0,0.0,17.0,30.0,0.0,12.0,0.0,0.0
0,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,16.0,8.0,35.0,79.0,8.0,23.0,0.909091,0.726891,173.0,173.0,10.0,1.0,0.675781,173.0,1.0,1.0,0.0,0.0,1.0,65.0,159.0,2.0,0.0,2.0,0.0,15.0,0.0,10.0,0.0,15.0,23.0,0.0,10.0,0.0,83.0,179.0,3.0,0.0,3.0,0.0,17.0,0.0,12.0,0.0,17.0,30.0,0.0,12.0,0.0,0.0
0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,16.0,8.0,35.0,79.0,8.0,23.0,0.909091,0.726891,173.0,173.0,10.0,1.0,0.675781,173.0,1.0,1.0,0.0,0.0,1.0,65.0,159.0,2.0,0.0,2.0,0.0,15.0,0.0,10.0,0.0,15.0,23.0,0.0,10.0,0.0,83.0,179.0,3.0,0.0,3.0,0.0,17.0,0.0,12.0,0.0,17.0,30.0,0.0,12.0,0.0,0.0
0,10,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,3.0,17.0,10.0,1.0,5.0,1.0,0.652174,30.0,30.0,5.0,0.0,0.455882,31.0,0.0,0.0,6.0,6.0,0.0,16.0,42.0,1.0,0.0,1.0,0.0,4.0,1.0,4.0,0.0,4.0,5.0,1.0,4.0,0.0,37.0,67.0,1.0,0.0,1.0,0.0,8.0,1.0,8.0,0.0,12.0,14.0,1.0,12.0,0.0,1.0
0,10,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,6.0,3.0,21.0,14.0,1.0,6.0,1.0,0.618182,34.0,34.0,6.0,0.0,0.4,36.0,0.0,0.0,9.0,9.0,0.0,21.0,52.0,1.0,0.0,1.0,0.0,5.0,1.0,5.0,0.0,5.0,7.0,1.0,5.0,0.0,54.0,92.0,1.0,0.0,1.0,0.0,12.0,1.0,12.0,0.0,21.0,18.0,1.0,21.0,0.0,0.0
0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,6.0,3.0,21.0,14.0,1.0,6.0,1.0,0.618182,34.0,34.0,6.0,0.0,0.4,36.0,0.0,0.0,9.0,9.0,0.0,21.0,52.0,1.0,0.0,1.0,0.0,5.0,1.0,5.0,0.0,5.0,7.0,1.0,5.0,0.0,54.0,92.0,1.0,0.0,1.0,0.0,12.0,1.0,12.0,0.0,21.0,18.0,1.0,21.0,0.0,0.0
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,6.0,3.0,21.0,14.0,1.0,6.0,1.0,0.618182,34.0,34.0,6.0,0.0,0.4,36.0,0.0,0.0,9.0,9.0,0.0,21.0,52.0,1.0,0.0,1.0,0.0,5.0,1.0,5.0,0.0,5.0,7.0,1.0,5.0,0.0,54.0,92.0,1.0,0.0,1.0,0.0,12.0,1.0,12.0,0.0,21.0,18.0,1.0,21.0,0.0,0.0
0,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,6.0,3.0,21.0,14.0,1.0,6.0,1.0,0.618182,34.0,34.0,6.0,0.0,0.4,36.0,0.0,0.0,9.0,9.0,0.0,21.0,52.0,1.0,0.0,1.0,0.0,5.0,1.0,5.0,0.0,5.0,7.0,1.0,5.0,0.0,54.0,92.0,1.0,0.0,1.0,0.0,12.0,1.0,12.0,0.0,21.0,18.0,1.0,21.0,0.0,0.0
2,23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,12.0,6.0,24.0,23.0,1.0,12.0,1.0,0.53,53.0,53.0,12.0,0.0,0.377622,54.0,0.0,0.0,0.0,0.0,0.0,47.0,105.0,2.0,0.0,2.0,0.0,11.0,0.0,11.0,0.0,11.0,13.0,0.0,11.0,0.0,89.0,148.0,2.0,0.0,2.0,0.0,20.0,0.0,11.0,0.0,27.0,27.0,0.0,11.0,0.0,1.0
2,23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,14.0,6.0,25.0,25.0,1.0,13.0,1.0,0.504762,53.0,53.0,12.0,0.0,0.329193,53.0,0.0,0.0,0.0,0.0,0.0,52.0,111.0,2.0,0.0,2.0,0.0,12.0,0.0,11.0,0.0,12.0,15.0,0.0,11.0,0.0,108.0,171.0,3.0,0.0,3.0,0.0,23.0,0.0,11.0,0.0,44.0,36.0,0.0,11.0,0.0,0.0
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,14.0,6.0,25.0,25.0,1.0,13.0,1.0,0.504762,53.0,53.0,12.0,0.0,0.329193,53.0,0.0,0.0,0.0,0.0,0.0,52.0,111.0,2.0,0.0,2.0,0.0,12.0,0.0,11.0,0.0,12.0,15.0,0.0,11.0,0.0,108.0,171.0,3.0,0.0,3.0,0.0,23.0,0.0,11.0,0.0,44.0,36.0,0.0,11.0,0.0,0.0
0,10,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,14.0,6.0,25.0,25.0,1.0,13.0,1.0,0.504762,53.0,53.0,12.0,0.0,0.329193,53.0,0.0,0.0,0.0,0.0,0.0,52.0,111.0,2.0,0.0,2.0,0.0,12.0,0.0,11.0,0.0,12.0,15.0,0.0,11.0,0.0,108.0,171.0,3.0,0.0,3.0,0.0,23.0,0.0,11.0,0.0,44.0,36.0,0.0,11.0,0.0,0.0
0,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,12.0,11.0,33.0,73.0,11.0,22.0,1.0,0.711268,101.0,101.0,12.0,0.0,0.691781,101.0,0.0,0.0,5.0,5.0,0.0,41.0,139.0,0.0,1.0,0.0,1.0,11.0,0.0,11.0,0.0,11.0,15.0,0.0,11.0,0.0,45.0,143.0,0.0,2.0,0.0,2.0,12.0,0.0,12.0,0.0,22.0,16.0,0.0,22.0,0.0,1.0
0,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,12.0,11.0,33.0,73.0,11.0,22.0,1.0,0.711268,101.0,101.0,12.0,0.0,0.691781,101.0,0.0,0.0,5.0,5.0,0.0,41.0,139.0,0.0,1.0,0.0,1.0,11.0,0.0,11.0,0.0,11.0,15.0,0.0,11.0,0.0,45.0,143.0,0.0,2.0,0.0,2.0,12.0,0.0,12.0,0.0,22.0,16.0,0.0,22.0,0.0,0.0
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,12.0,11.0,33.0,73.0,11.0,22.0,1.0,0.711268,101.0,101.0,12.0,0.0,0.691781,101.0,0.0,0.0,5.0,5.0,0.0,41.0,139.0,0.0,1.0,0.0,1.0,11.0,0.0,11.0,0.0,11.0,15.0,0.0,11.0,0.0,45.0,143.0,0.0,2.0,0.0,2.0,12.0,0.0,12.0,0.0,22.0,16.0,0.0,22.0,0.0,0.0
0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,7.0,5.0,2.0,5.0,1.0,0.566667,17.0,17.0,3.0,0.0,0.5,17.0,0.0,0.0,1.0,1.0,0.0,13.0,25.0,0.0,2.0,0.0,2.0,3.0,0.0,2.0,0.0,3.0,3.0,0.0,2.0,0.0,17.0,29.0,1.0,2.0,0.0,2.0,4.0,0.0,3.0,0.0,10.0,4.0,0.0,6.0,0.0,1.0
0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,7.0,5.0,1.0,4.0,1.0,0.548387,17.0,17.0,3.0,0.0,0.5,22.0,0.0,0.0,1.0,1.0,0.0,14.0,26.0,0.0,2.0,0.0,2.0,3.0,0.0,2.0,0.0,3.0,3.0,0.0,2.0,0.0,22.0,39.0,7.0,10.0,0.0,3.0,5.0,0.0,3.0,0.0,50.0,5.0,0.0,16.0,1.0,0.0
0,29,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,7.0,5.0,1.0,4.0,1.0,0.548387,17.0,17.0,3.0,0.0,0.5,22.0,0.0,0.0,1.0,1.0,0.0,14.0,26.0,0.0,2.0,0.0,2.0,3.0,0.0,2.0,0.0,3.0,3.0,0.0,2.0,0.0,22.0,39.0,7.0,10.0,0.0,3.0,5.0,0.0,3.0,0.0,50.0,5.0,0.0,16.0,1.0,0.0
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,7.0,5.0,1.0,4.0,1.0,0.548387,17.0,17.0,3.0,0.0,0.5,22.0,0.0,0.0,1.0,1.0,0.0,14.0,26.0,0.0,2.0,0.0,2.0,3.0,0.0,2.0,0.0,3.0,3.0,0.0,2.0,0.0,22.0,39.0,7.0,10.0,0.0,3.0,5.0,0.0,3.0,0.0,50.0,5.0,0.0,16.0,1.0,0.0
0,22,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,33.0,0.0,102.0,86.0,0.0,23.0,0.857143,0.478049,98.0,98.0,18.0,3.0,0.478049,98.0,0.0,0.0,0.0,0.0,0.0,107.0,215.0,6.0,7.0,6.0,7.0,23.0,2.0,20.0,0.0,23.0,46.0,2.0,20.0,0.0,107.0,215.0,6.0,7.0,6.0,7.0,23.0,2.0,20.0,0.0,23.0,46.0,2.0,20.0,0.0,0.0
0,22,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,32.0,0.0,113.0,87.0,0.0,22.0,0.857143,0.487562,98.0,98.0,18.0,3.0,0.487562,98.0,0.0,0.0,0.0,0.0,0.0,103.0,210.0,7.0,7.0,7.0,7.0,22.0,2.0,20.0,0.0,22.0,42.0,2.0,20.0,0.0,103.0,210.0,7.0,7.0,7.0,7.0,22.0,2.0,20.0,0.0,22.0,42.0,2.0,20.0,0.0,0.0
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,32.0,0.0,113.0,87.0,0.0,22.0,0.857143,0.487562,98.0,98.0,18.0,3.0,0.487562,98.0,0.0,0.0,0.0,0.0,0.0,103.0,210.0,7.0,7.0,7.0,7.0,22.0,2.0,20.0,0.0,22.0,42.0,2.0,20.0,0.0,103.0,210.0,7.0,7.0,7.0,7.0,22.0,2.0,20.0,0.0,22.0,42.0,2.0,20.0,0.0,0.0
3,31,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,28.0,6.0,14.0,35.0,6.0,18.0,0.888889,0.245902,30.0,30.0,8.0,1.0,0.245902,30.0,0.0,0.0,0.0,0.0,0.0,92.0,135.0,3.0,9.0,3.0,9.0,12.0,0.0,8.0,0.0,12.0,46.0,0.0,8.0,0.0,92.0,135.0,3.0,9.0,3.0,9.0,12.0,0.0,8.0,0.0,12.0,46.0,0.0,8.0,0.0,1.0
3,31,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,30.0,6.0,14.0,36.0,7.0,20.0,0.8,0.230769,30.0,30.0,8.0,2.0,0.230769,30.0,0.0,0.0,0.0,0.0,0.0,100.0,144.0,3.0,9.0,3.0,9.0,13.0,0.0,9.0,0.0,13.0,51.0,0.0,9.0,0.0,100.0,144.0,3.0,9.0,3.0,9.0,13.0,0.0,9.0,0.0,13.0,51.0,0.0,9.0,0.0,2.0
3,31,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,28.0,6.0,16.0,40.0,6.0,18.0,0.888889,0.245902,30.0,30.0,8.0,1.0,0.245902,30.0,0.0,0.0,0.0,0.0,0.0,92.0,135.0,3.0,9.0,3.0,9.0,12.0,0.0,8.0,0.0,12.0,46.0,0.0,8.0,0.0,92.0,135.0,3.0,9.0,3.0,9.0,12.0,0.0,8.0,0.0,12.0,46.0,0.0,8.0,0.0,1.0
3,31,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,30.0,6.0,16.0,44.0,6.0,19.0,0.8,0.24,30.0,30.0,8.0,2.0,0.24,30.0,0.0,0.0,0.0,0.0,0.0,95.0,139.0,3.0,9.0,3.0,9.0,13.0,0.0,9.0,0.0,13.0,47.0,0.0,9.0,0.0,95.0,139.0,3.0,9.0,3.0,9.0,13.0,0.0,9.0,0.0,13.0,47.0,0.0,9.0,0.0,0.0
1,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,28.0,6.0,16.0,40.0,6.0,18.0,0.888889,0.245902,30.0,30.0,8.0,1.0,0.245902,30.0,0.0,0.0,0.0,0.0,0.0,92.0,135.0,3.0,9.0,3.0,9.0,12.0,0.0,8.0,0.0,12.0,46.0,0.0,8.0,0.0,92.0,135.0,3.0,9.0,3.0,9.0,12.0,0.0,8.0,0.0,12.0,46.0,0.0,8.0,0.0,1.0
0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,28.0,6.0,16.0,40.0,6.0,18.0,0.888889,0.245902,30.0,30.0,8.0,1.0,0.245902,30.0,0.0,0.0,0.0,0.0,0.0,92.0,135.0,3.0,9.0,3.0,9.0,12.0,0.0,8.0,0.0,12.0,46.0,0.0,8.0,0.0,92.0,135.0,3.0,9.0,3.0,9.0,12.0,0.0,8.0,0.0,12.0,46.0,0.0,8.0,0.0,1.0
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,28.0,6.0,16.0,40.0,6.0,18.0,0.888889,0.245902,30.0,30.0,8.0,1.0,0.245902,30.0,0.0,0.0,0.0,0.0,0.0,92.0,135.0,3.0,9.0,3.0,9.0,12.0,0.0,8.0,0.0,12.0,46.0,0.0,8.0,0.0,92.0,135.0,3.0,9.0,3.0,9.0,12.0,0.0,8.0,0.0,12.0,46.0,0.0,8.0,0.0,1.0
2,46,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,28.0,6.0,16.0,40.0,6.0,18.0,0.888889,0.245902,30.0,30.0,8.0,1.0,0.245902,30.0,0.0,0.0,0.0,0.0,0.0,92.0,135.0,3.0,9.0,3.0,9.0,12.0,0.0,8.0,0.0,12.0,46.0,0.0,8.0,0.0,92.0,135.0,3.0,9.0,3.0,9.0,12.0,0.0,8.0,0.0,12.0,46.0,0.0,8.0,0.0,1.0
0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,28.0,6.0,16.0,40.0,6.0,18.0,0.888889,0.245902,30.0,30.0,8.0,1.0,0.245902,30.0,0.0,0.0,0.0,0.0,0.0,92.0,135.0,3.0,9.0,3.0,9.0,12.0,0.0,8.0,0.0,12.0,46.0,0.0,8.0,0.0,92.0,135.0,3.0,9.0,3.0,9.0,12.0,0.0,8.0,0.0,12.0,46.0,0.0,8.0,0.0,1.0
1,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,2.0,9.0,12.0,2.0,6.0,0.4,0.472727,26.0,19.0,2.0,3.0,0.472727,26.0,0.0,0.0,1.0,1.0,0.0,29.0,56.0,2.0,2.0,2.0,2.0,4.0,0.0,4.0,0.0,4.0,11.0,0.0,4.0,0.0,29.0,56.0,2.0,2.0,2.0,2.0,4.0,0.0,4.0,0.0,4.0,11.0,0.0,4.0,0.0,1.0
1,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,13.0,2.0,9.0,12.0,2.0,9.0,0.25,0.356164,26.0,19.0,2.0,6.0,0.356164,26.0,0.0,0.0,1.0,1.0,0.0,47.0,77.0,2.0,2.0,2.0,2.0,7.0,0.0,7.0,0.0,7.0,17.0,0.0,7.0,0.0,47.0,77.0,2.0,2.0,2.0,2.0,7.0,0.0,7.0,0.0,7.0,17.0,0.0,7.0,0.0,0.0
0,7,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,13.0,2.0,9.0,12.0,2.0,9.0,0.25,0.356164,26.0,19.0,2.0,6.0,0.356164,26.0,0.0,0.0,1.0,1.0,0.0,47.0,77.0,2.0,2.0,2.0,2.0,7.0,0.0,7.0,0.0,7.0,17.0,0.0,7.0,0.0,47.0,77.0,2.0,2.0,2.0,2.0,7.0,0.0,7.0,0.0,7.0,17.0,0.0,7.0,0.0,0.0
